t1,T2,T5,T8,T10,t12,T13,T14,T3,T9
1/2024/0583 1,"Angénieux S.A.
Stroekens Sammlung","Objektmaß HxBxT: 90 x 200 x 170 mm
Masse: 1,5 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-001-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-001-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-001-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0583 2,"Angénieux S.A.
Stroekens Sammlung","Objektmaß HxBxT: 90 x 120 x 590 mm
Masse: 1,95 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-002-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-002-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-002-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0583 3,"Angénieux S.A.
Stroekens Sammlung","Ø Länge: 30 x 880 mm
Masse: 0,45 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-003-003.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-003-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-003-001.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0583 4,"Angénieux S.A.
Stroekens Sammlung","Objektmaß HxBxT: 375 x 840 x 600 mm
Masse: 16,1 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-004-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-004-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-004-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0584 0,"BTS - Broadcasting Television Systems GmbH
Stroekens Sammlung","Objektmaß HxBxT: 480 x 300 x 590 mm
Masse: 35 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0584 1,"BTS - Broadcasting Television Systems GmbH
Stroekens Sammlung","Objektmaß HxBxT: 550 x 650 x 355 mm
Masse: 10,9 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-001-005.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-001-006.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-001-007.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0584 2,"BTS - Broadcasting Television Systems GmbH
Stroekens Sammlung",Masse: 47 kg,RZ 4.HR 22.F 00.E 01.PB,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-002-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-002-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0584-002-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0585 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Masse: 3,05 kg
Objektmaß HxBxT: 190 x 120 x 340 mm",RZ 6.KTD SR 06.F 01.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0585-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0585-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0585-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1965,,
1/2024/0586 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg",RZ 6.KTD SR 06.F 01.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0586-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0586-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0586-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1965,,
1/2024/0586 1,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Masse: 0,3 kg
Ø Länge: 30 x 270 mm",RZ 6.KTD SR 06.F 01.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0586-001-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0586-001-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0586-001-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1965,,
